SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
46.8 53.2 49.8824 1.09377 1.09377 
46.9 53.1 49.7953 1.10572 1.10572 
47 53 49.7083 1.11767 1.11767 
47.1 52.9 49.6212 1.12962 1.12962 
47.2 52.8 49.5342 1.14156 1.14156 
47.3 52.7 49.4471 1.15351 1.15351 
47.4 52.6 49.36 1.16546 1.16546 
47.5 52.5 49.273 1.17741 1.17741 
47.6 52.4 49.1859 1.18936 1.18936 
47.7 52.3 49.0989 1.20131 1.20131 
47.8 52.2 49.0118 1.21326 1.21326 
47.9 52.1 48.9248 1.22521 1.22521 
48 52 48.8377 1.23716 1.23716 
48.1 51.9 48.7507 1.24911 1.24911 
48.2 51.8 48.6636 1.26106 1.26106 
48.3 51.7 48.5765 1.27301 1.27301 
48.4 51.6 48.4895 1.28496 1.28496 
48.5 51.5 48.4024 1.29691 1.29691 
48.6 51.4 48.3154 1.30886 1.30886 
48.7 51.3 48.2283 1.32081 1.32081 
48.8 51.2 48.1413 1.33276 1.33276 
48.9 51.1 48.0542 1.34471 1.34471 
49 51 47.9672 1.35666 1.35666 
49.1 50.9 47.8801 1.36861 1.36861 
49.2 50.801 47.7931 1.38056 1.38056 
49.3 50.7032 47.706 1.39251 1.39251 
49.4 50.6055 47.6189 1.40446 1.40446 
49.5 50.5083 47.5319 1.41641 1.41641 
49.6 50.411 47.4448 1.42836 1.42836 
49.7 50.3141 47.3596 1.44216 1.44216 
49.8 50.2177 47.277 1.45859 1.45859 
49.9 50.1215 47.1945 1.47501 1.47501 
50 50.0254 47.1119 1.49144 1.49144 
50.1 49.9294 47.0293 1.50786 1.50786 
50.2 49.8335 46.9467 1.52429 1.52429 
50.3 49.7376 46.8641 1.54071 1.54071 
50.4 49.6419 46.7816 1.55714 1.55714 
50.5 49.5462 46.699 1.57356 1.57356 
50.6 49.4505 46.6164 1.58999 1.58999 
50.7 49.3549 46.5338 1.60641 1.60641 
50.8 49.2594 46.4512 1.62283 1.62283 
50.9 49.1639 46.3687 1.63926 1.63926 
51 49.0684 46.2861 1.65568 1.65568 
51.1 48.973 46.2035 1.67211 1.67211 
51.2 48.8776 46.1209 1.68853 1.68853 
51.3 48.7822 46.0383 1.70496 1.70496 
51.4 48.6869 45.9558 1.72138 1.72138 
51.5 48.5916 45.8732 1.73781 1.73781 
51.6 48.4964 45.7906 1.75423 1.75423 
51.7 48.4011 45.708 1.77066 1.77066 
51.8 48.3068 45.6254 1.78708 1.78708 
51.9 48.2128 45.5429 1.80351 1.80351 
52 48.1191 45.4603 1.81993 1.81993 
52.1 48.0257 45.3777 1.83635 1.83635 
52.2 47.9324 45.2951 1.85278 1.85278 
52.3 47.8394 45.2125 1.8692 1.8692 
52.4 47.7465 45.13 1.88563 1.88563 
52.5 47.6538 45.0474 1.90205 1.90205 
52.6 47.5612 44.9648 1.91848 1.91848 
52.7 47.4686 44.8822 1.9349 1.9349 
52.8 47.3762 44.7996 1.95133 1.95133 
52.9 47.2838 44.7171 1.96775 1.96775 
53 47.1916 44.6345 1.98418 1.98418 
53.1 47.0994 44.5519 2.0006 2.0006 
53.2 47.0072 44.4693 2.01703 2.01703 
